item,itemLabel,cityLabel
http://www.wikidata.org/entity/Q34730403,龍鑾潭排水溝,
http://www.wikidata.org/entity/Q34737410,前溪大排水,
http://www.wikidata.org/entity/Q34737430,七塊厝高地分線,
http://www.wikidata.org/entity/Q49241748,八角亭大排水溝,
http://www.wikidata.org/entity/Q49242273,崩山分線,
http://www.wikidata.org/entity/Q49244736,長短樹大排,
http://www.wikidata.org/entity/Q49244953,春珠大排,
http://www.wikidata.org/entity/Q49246748,東門大排水,
http://www.wikidata.org/entity/Q49250046,貴舍大排水溝,
http://www.wikidata.org/entity/Q34702118,大排竹大排水缐,
http://www.wikidata.org/entity/Q34711650,嘉南大圳支線,
http://www.wikidata.org/entity/Q34712919,客厝子分線,
http://www.wikidata.org/entity/Q34730868,鹿寮排水溝,
http://www.wikidata.org/entity/Q49242272,崩埤大排,
http://www.wikidata.org/entity/Q49244734,長濱大圳,
http://www.wikidata.org/entity/Q49246750,東門排水,
http://www.wikidata.org/entity/Q49242188,北岸河,
http://www.wikidata.org/entity/Q49244368,草湖排水,
http://www.wikidata.org/entity/Q49244922,崇蘭圳,
http://www.wikidata.org/entity/Q49243503,埔鹽圳第五支線,
http://www.wikidata.org/entity/Q49244708,查畝營支線,
http://www.wikidata.org/entity/Q49244921,崇蘭新圳,
http://www.wikidata.org/entity/Q49246747,東港第一排水溝,
http://www.wikidata.org/entity/Q49250037,歸來公館圳,
http://www.wikidata.org/entity/Q49250123,過溪子排水溝,
http://www.wikidata.org/entity/Q34737423,橋頭第一排水溝,高雄市
http://www.wikidata.org/entity/Q34737467,旗山二仁導水線,高雄市
http://www.wikidata.org/entity/Q49241887,寶珠排水溝,高雄市
http://www.wikidata.org/entity/Q11121785,樹梅坑溪,新北市
http://www.wikidata.org/entity/Q49244367,曹公新圳,高雄市
http://www.wikidata.org/entity/Q49244365,曹公新圳,高雄市
http://www.wikidata.org/entity/Q49244742,潮州寮幹線,高雄市
http://www.wikidata.org/entity/Q10323065,曹公圳,
http://www.wikidata.org/entity/Q34737481,旗山圳第一幹線,高雄市
http://www.wikidata.org/entity/Q15917625,田寮河,
http://www.wikidata.org/entity/Q17035090,隆恩圳,
http://www.wikidata.org/entity/Q10880497,二重疏洪道,
http://www.wikidata.org/entity/Q19853733,豐源圳,
http://www.wikidata.org/entity/Q15909135,竹東圳,
http://www.wikidata.org/entity/Q10934853,大安圳,土城區
http://www.wikidata.org/entity/Q11103078,東勢本圳,
http://www.wikidata.org/entity/Q18668946,關山大圳,
http://www.wikidata.org/entity/Q9411100,八寶圳,
http://www.wikidata.org/entity/Q34697854,Q34697854,
http://www.wikidata.org/entity/Q34701895,Q34701895,
http://www.wikidata.org/entity/Q34711666,Q34711666,
http://www.wikidata.org/entity/Q34711671,Q34711671,
http://www.wikidata.org/entity/Q18654170,池上圳,
http://www.wikidata.org/entity/Q34730409,Q34730409,
http://www.wikidata.org/entity/Q34730388,隆恩圳,
http://www.wikidata.org/entity/Q34701945,大湖圳,
http://www.wikidata.org/entity/Q34702352,大有排水溝,
http://www.wikidata.org/entity/Q34711640,嘉南大圳蒜頭支線,
http://www.wikidata.org/entity/Q34711676,嘉義大排水溝,
http://www.wikidata.org/entity/Q34711711,舊公館二圳,
http://www.wikidata.org/entity/Q34730227,六腳排水溝,
http://www.wikidata.org/entity/Q18657602,知本圳,
http://www.wikidata.org/entity/Q19853329,美和圳,
http://www.wikidata.org/entity/Q34701970,大槺榔大排,
http://www.wikidata.org/entity/Q34702007,大寮大排水溝,
http://www.wikidata.org/entity/Q34702124,大坪圳,
http://www.wikidata.org/entity/Q34703508,頂寮大排水溝,
http://www.wikidata.org/entity/Q34709381,後鎮大排水線,
http://www.wikidata.org/entity/Q34711599,嘉南大圳,
http://www.wikidata.org/entity/Q34711644,嘉南大圳新營支線,
http://www.wikidata.org/entity/Q34730416,龍潭排水溝,
http://www.wikidata.org/entity/Q34737403,前東港大排,
http://www.wikidata.org/entity/Q17164665,葫蘆墩圳,
http://www.wikidata.org/entity/Q34737474,旗山圳第二幹線,高雄市
http://www.wikidata.org/entity/Q18651911,卑南上圳,
http://www.wikidata.org/entity/Q49242189,Q49242189,
http://www.wikidata.org/entity/Q49242194,Q49242194,
http://www.wikidata.org/entity/Q49245039,Q49245039,
http://www.wikidata.org/entity/Q49246648,Q49246648,
http://www.wikidata.org/entity/Q19853617,萬朝圳,
http://www.wikidata.org/entity/Q34701908,大峰峰圳,
http://www.wikidata.org/entity/Q34711628,嘉南大圳排水線,
http://www.wikidata.org/entity/Q34711660,嘉南大圳排水線,
http://www.wikidata.org/entity/Q34711716,舊永基幹線,
