item,itemLabel
http://www.wikidata.org/entity/Q10865357,三光溪
http://www.wikidata.org/entity/Q10884874,伊卡丸溪
http://www.wikidata.org/entity/Q10890333,光復溪
http://www.wikidata.org/entity/Q10903689,北港溪 (新北市)
http://www.wikidata.org/entity/Q10908511,南港溪
http://www.wikidata.org/entity/Q10908512,南港溪
http://www.wikidata.org/entity/Q10922374,員潭溪
http://www.wikidata.org/entity/Q10941454,太平溪
http://www.wikidata.org/entity/Q11076948,拉庫音溪
http://www.wikidata.org/entity/Q11083038,新武呂溪
http://www.wikidata.org/entity/Q11105319,枋山溪
http://www.wikidata.org/entity/Q10892312,八甲溪
http://www.wikidata.org/entity/Q10934411,大坑溪
http://www.wikidata.org/entity/Q10865829,三富溪
http://www.wikidata.org/entity/Q10867286,上坪溪
http://www.wikidata.org/entity/Q10892491,八里溪
http://www.wikidata.org/entity/Q10936117,大武溪
http://www.wikidata.org/entity/Q10954331,富林溪
http://www.wikidata.org/entity/Q10955546,寧埔溪
http://www.wikidata.org/entity/Q11084349,新豐溪
http://www.wikidata.org/entity/Q11103817,東澳溪
http://www.wikidata.org/entity/Q11105323,枋溪
http://www.wikidata.org/entity/Q10864577,七家灣溪
http://www.wikidata.org/entity/Q10900908,加蘭溪
http://www.wikidata.org/entity/Q10903688,北港溪 (南投縣)
http://www.wikidata.org/entity/Q10906092,卓溪
http://www.wikidata.org/entity/Q10908561,南湖溪
http://www.wikidata.org/entity/Q10946504,安坑溪
http://www.wikidata.org/entity/Q10946883,安朔溪
http://www.wikidata.org/entity/Q10958486,小坑溪
http://www.wikidata.org/entity/Q11051813,峨眉溪
http://www.wikidata.org/entity/Q11060970,平廣溪
http://www.wikidata.org/entity/Q11070260,後龍溪
http://www.wikidata.org/entity/Q11075505,房裡溪
http://www.wikidata.org/entity/Q11090268,智慧溪
http://www.wikidata.org/entity/Q10935212,大崙溪
http://www.wikidata.org/entity/Q10875823,中港河
http://www.wikidata.org/entity/Q10898297,利嘉溪
http://www.wikidata.org/entity/Q10902629,北坑溪 (新竹市)
http://www.wikidata.org/entity/Q10908662,南澳溪
http://www.wikidata.org/entity/Q10913732,叭嗹溪
http://www.wikidata.org/entity/Q10917085,吉安溪
http://www.wikidata.org/entity/Q10921471,和平溪
http://www.wikidata.org/entity/Q10925394,四重溪
http://www.wikidata.org/entity/Q10930702,塔克金溪
http://www.wikidata.org/entity/Q10930761,塔寮坑溪
http://www.wikidata.org/entity/Q10930901,塔瓦溪
http://www.wikidata.org/entity/Q10934412,大坑溪 (臺中市)
http://www.wikidata.org/entity/Q10934954,大富溪
http://www.wikidata.org/entity/Q10935069,大屯溪
http://www.wikidata.org/entity/Q10941891,太麻里溪
http://www.wikidata.org/entity/Q10956041,寶來溪
http://www.wikidata.org/entity/Q10957359,將軍溪
http://www.wikidata.org/entity/Q11070207,後勁溪
http://www.wikidata.org/entity/Q11071065,得子口溪
http://www.wikidata.org/entity/Q11076868,拉克斯溪
http://www.wikidata.org/entity/Q11092532,朝庸溪
http://www.wikidata.org/entity/Q10932409,外雙溪
http://www.wikidata.org/entity/Q10934622,大堀溪
http://www.wikidata.org/entity/Q11047429,山間溪
http://www.wikidata.org/entity/Q11082238,新安溪
http://www.wikidata.org/entity/Q11094995,朴子溪
http://www.wikidata.org/entity/Q11104751,松溪
http://www.wikidata.org/entity/Q10879948,乾華溪
http://www.wikidata.org/entity/Q10916847,合歡溪
http://www.wikidata.org/entity/Q10930142,埔坪溪
http://www.wikidata.org/entity/Q10956226,寶斗溪
http://www.wikidata.org/entity/Q11064064,康誥坑溪
http://www.wikidata.org/entity/Q11064256,廍子溪
http://www.wikidata.org/entity/Q11080190,文里溪
http://www.wikidata.org/entity/Q11105599,林口溪
http://www.wikidata.org/entity/Q10877284,丹大溪
http://www.wikidata.org/entity/Q10866204,三棧溪
http://www.wikidata.org/entity/Q10878902,九棚溪
http://www.wikidata.org/entity/Q10892431,八連溪
http://www.wikidata.org/entity/Q10916567,司界蘭溪
http://www.wikidata.org/entity/Q11061494,幸福川
http://www.wikidata.org/entity/Q11079544,文元溪
http://www.wikidata.org/entity/Q11092070,有勝溪
